date,gdp_growth,cpi_inflation,unemployment,hibor_3m,china_gdp,us_ffr,hk_exports_china_yoy,property_class_a,property_class_b,property_class_c,property_class_d,property_class_e,property_classes_abc,property_classes_de,hk_property_price_idx,property_class_a_remarks,property_class_b_remarks,property_class_c_remarks,property_class_d_remarks,property_class_e_remarks,property_classes_abc_remarks,property_classes_de_remarks,hk_property_price_remarks,hk_property_price_yoy,hk_property_price_qoq,hk_property_price_qoq_ann
2005-01-01,6.4000,0.3667,6.0000,1.8181,11.2000,2.4700,13.6333,82.6000,89.3000,103.2333,114.1000,125.6333,88.2667,116.9000,89.9000,,,,,,,,,22.1467,7.8369,35.2287
2005-04-01,7.3000,0.8333,5.7000,2.9713,11.1000,2.9433,14.7000,87.2000,93.7667,110.3000,120.5000,132.7000,92.9333,123.3333,94.5333,,,,,,,,,22.4525,5.1539,22.2647
2005-07-01,8.3000,1.4333,5.4000,3.8514,10.9000,3.4600,14.2667,85.9667,93.1333,108.5667,122.0333,132.8333,91.9333,124.5000,93.5667,,,,,,,,,20.2656,-1.0226,-4.0280
2005-10-01,7.4000,1.2667,5.2000,4.2772,12.4000,3.9800,14.4333,84.0000,89.1667,104.2667,119.9333,133.8667,88.5333,123.0000,90.1333,,,,,,,,,8.1168,-3.6694,-13.8893
2006-01-01,9.0000,1.5667,5.1000,4.1918,12.4000,4.4567,21.2667,85.0000,91.1333,106.4333,118.0000,137.5000,90.0667,122.4000,91.5000,,,,,,,,,1.7798,1.5163,6.2044
2006-04-01,6.1000,2.0667,4.9000,4.5986,13.6000,4.9067,8.7000,86.7333,92.4667,109.2333,122.0667,138.0667,91.6667,125.8000,93.2333,,,,,,,,,-1.3752,1.8944,7.7955
2006-07-01,6.4000,2.3000,4.6000,4.2646,12.2000,5.2467,13.5000,86.8667,91.5000,107.1000,120.8000,138.6000,91.0667,125.0667,92.7333,,,,,,,,,-0.8906,-0.5363,-2.1280
2006-10-01,6.8000,2.1667,4.5000,4.0222,12.5000,5.2467,17.0000,87.7000,91.4000,109.1000,123.0000,136.2333,91.5333,126.2667,93.3000,,,,,,,,,3.5133,0.6111,2.4668
2007-01-01,5.9000,1.7333,4.3000,4.1805,13.6000,5.2567,12.9000,91.2333,94.4667,110.9333,127.0667,146.5000,94.6667,131.8000,96.5667,,,,,,,,,5.5373,3.5013,14.7578
2007-04-01,6.2000,1.2667,4.2000,4.4705,14.9000,5.2500,15.9000,95.4000,97.5000,115.9333,132.8000,154.1000,98.2667,138.0333,100.2667,,,,,,,,,7.5438,3.8315,16.2298
2007-07-01,6.7000,1.5667,4.1000,4.8036,14.2000,5.0733,12.8000,98.8333,101.2000,119.9333,139.6000,163.7667,101.9000,145.5000,104.0333,,,,,,,,,12.1855,3.7566,15.8947
2007-10-01,7.0000,3.4667,3.4000,3.9967,13.9000,4.4967,11.1333,108.4333,108.9667,131.7333,152.5667,181.4667,110.8333,159.4333,113.2333,,,,,,,,,21.3648,8.8433,40.3483
2008-01-01,7.0000,4.5667,3.3000,2.2495,11.6000,3.1767,11.6667,121.1333,119.8667,145.9667,165.6333,192.0667,122.7333,171.7000,125.0333,,,,,,,,,29.4788,10.4210,48.6641
2008-04-01,4.0000,5.7333,3.2000,2.1212,11.0000,2.0867,7.9667,122.4333,120.7333,146.1000,167.6000,195.5667,123.6667,173.8333,125.9000,,,,,,,,,25.5652,0.6931,2.8016
2008-07-01,0.9000,4.6333,3.5000,2.7436,9.5000,1.9400,5.9000,119.7333,119.1000,142.7000,159.5667,190.6000,121.3667,166.3000,123.2333,,,,,,,,,18.4556,-2.1181,-8.2069
2008-10-01,-2.7000,2.3333,4.1000,2.0829,7.1000,0.5067,-2.3667,106.9333,104.7667,119.1667,136.1333,156.2667,106.8000,140.3333,108.0000,,,,,,,,,-4.6217,-12.3614,-41.0095
2009-01-01,-7.8000,1.7000,5.2000,0.9107,6.4000,0.1833,-22.6000,106.9000,105.1000,119.3667,135.8667,156.6667,106.9000,140.5000,108.0333,,,,,,,,,-13.5964,0.0309,0.1235
2009-04-01,-3.1000,-0.1000,5.3000,0.4970,8.2000,0.1800,-4.6667,115.9667,113.5667,130.1667,145.6333,168.8333,115.8333,150.9000,117.0667,,,,,,,,,-7.0162,8.3616,37.8802
2009-07-01,-1.7000,-0.8667,5.4000,0.2115,10.6000,0.1567,-7.6667,126.0333,122.4000,141.6667,163.2000,189.2333,125.3667,169.6000,127.1333,,,,,,,,,3.1647,8.5991,39.0928
2009-10-01,2.5000,1.3333,5.0000,0.1399,11.9000,0.1200,5.6000,132.1667,127.6333,149.0333,168.8000,193.8333,131.1333,174.9000,132.9000,,,,,,,,,23.0556,4.5359,19.4159
2010-01-01,7.9000,1.9333,4.6000,0.1364,12.2000,0.1333,39.7333,141.1000,134.8000,156.2667,178.4333,204.5000,139.0333,184.6333,140.8000,,,,,,,,,30.3301,5.9443,25.9826
2010-04-01,6.4000,2.5667,4.6000,0.3232,10.7000,0.1933,25.8667,147.3000,140.2667,162.3000,183.4333,207.4333,144.8333,189.0667,146.4333,,,,,,,,,25.0854,4.0009,16.9901
2010-07-01,6.5000,2.3000,4.2000,0.3126,9.9000,0.1867,31.4333,155.8000,147.4667,169.5000,191.4333,221.1667,152.5333,198.0000,154.1000,,,,,,,,,21.2113,5.2356,22.6453
2010-10-01,6.3000,2.7333,3.9000,0.2704,9.9000,0.1867,13.7000,165.6000,154.8667,176.6000,196.6667,227.0000,160.8667,203.3667,162.3000,,,,,,,,,22.1219,5.3212,23.0449
2011-01-01,7.6000,3.8000,3.5000,0.2273,10.1000,0.1567,28.6333,180.1000,167.0333,187.6667,207.6000,231.0667,173.8667,212.7000,175.1333,,,,,,,,,24.3845,7.9072,35.5817
2011-04-01,5.1000,5.1333,3.6000,0.2599,9.9000,0.0933,4.2667,191.3000,177.1333,198.0000,218.9333,248.2333,184.4667,225.3000,185.7667,,,,,,,,,26.8609,6.0716,26.5890
2011-07-01,3.9000,6.4667,3.3000,0.2765,9.3000,0.0833,0.3000,190.2000,177.1333,196.9000,215.3333,245.3667,183.9667,222.1333,185.2000,,,,,,,,,20.1817,-0.3050,-1.2146
2011-10-01,3.0000,5.7333,3.3000,0.3207,8.7000,0.0733,9.4000,187.5333,173.9000,192.7000,211.3667,242.0333,180.8000,218.6667,182.1000,,,,,,,,,12.1996,-1.6739,-6.5292
2012-01-01,0.8000,5.2333,3.3000,0.4020,8.1000,0.1033,-1.1333,192.7667,176.4667,191.6333,205.9667,246.9333,184.1667,216.2667,185.2667,,,,,,,,,5.7861,1.7390,7.1394
2012-04-01,1.0000,4.2333,3.3000,0.4031,7.7000,0.1533,3.9333,212.2667,192.2000,206.3000,224.7000,260.1000,201.2000,233.5667,202.2667,,,,,,,,,8.8821,9.1760,42.0719
2012-07-01,1.8000,3.0333,3.4000,0.4009,7.5000,0.1433,11.5000,224.1667,200.2333,212.5667,233.2333,266.6333,210.4667,241.2667,211.5667,,,,,,,,,14.2369,4.5979,19.6993
2012-10-01,3.1000,3.7333,3.2000,0.3974,8.1000,0.1600,12.5000,241.0667,213.7333,222.9667,239.9333,269.9667,224.9000,246.7667,225.7333,,,,,,,,,23.9612,6.6961,29.5967
2013-01-01,3.4000,3.6667,3.5000,0.3836,7.9000,0.1433,7.4667,254.2667,225.6000,232.1333,245.9000,268.3000,236.9667,250.8333,237.4667,,,,,Z,,,,28.1756,5.1979,22.4695
2013-04-01,3.1000,4.0000,3.4000,0.3786,7.6000,0.1167,5.4000,258.7000,229.2667,233.0667,244.9000,268.5333,240.8000,249.9667,241.1667,,,,,Z,,,,19.2320,1.5581,6.3796
2013-07-01,3.1000,5.3333,3.3000,0.3840,7.9000,0.0833,4.2333,264.2333,233.2000,235.3000,245.3000,268.3667,245.4333,250.3333,245.6333,,,,,Z,,,,16.1021,1.8521,7.6168
2013-10-01,2.9000,4.3000,3.2000,0.3805,7.7000,0.0867,4.8667,264.0667,232.2667,233.4333,243.4667,264.3333,245.0667,248.2000,245.1667,,,,,,,,,8.6090,-0.1900,-0.7578
2014-01-01,3.0000,4.1333,3.2000,0.3754,7.6000,0.0733,-0.7667,263.8000,230.3667,231.5000,240.2667,259.8000,244.2333,245.1000,244.2333,,,,,Z,,,,2.8495,-0.3807,-1.5141
2014-04-01,2.2000,3.6667,3.2000,0.3750,7.7000,0.0933,5.4333,268.0000,233.9000,232.0000,242.3667,262.1667,247.5667,247.7333,247.5667,,,,,,,,,2.6538,1.3648,5.5720
2014-07-01,3.2000,4.8333,3.3000,0.3731,7.3000,0.0900,4.6667,283.8000,247.9333,240.1333,250.2000,266.2000,261.6000,254.5333,261.3000,,,,,,,,,6.3781,5.5473,24.1049
2014-10-01,2.6000,5.0667,3.3000,0.3774,7.4000,0.1000,-2.0333,299.1667,260.6333,249.2000,258.3000,270.7333,274.8333,261.7000,274.3000,,,,,,,,,11.8831,4.9751,21.4355
2015-01-01,2.4000,4.4000,3.3000,0.3857,7.1000,0.1100,0.7000,316.5000,275.5000,259.4667,266.6333,278.7000,289.9667,269.9000,289.2000,,,,,,,,,18.4114,5.4320,23.5634
2015-04-01,3.1000,2.9667,3.3000,0.3869,7.1000,0.1233,-3.6667,328.4000,285.4333,266.6667,272.4667,285.4000,300.2000,275.9000,299.1667,,,,,,,,,20.8429,3.4463,14.5143
2015-07-01,2.3000,2.3000,3.3000,0.4012,7.0000,0.1367,-4.2333,336.8000,290.8667,272.3000,275.9667,290.3000,306.4000,279.9667,305.1667,,,,,,,,,16.7879,2.0056,8.2669
2015-10-01,1.9000,2.3333,3.3000,0.3818,6.9000,0.1600,-1.6000,325.0333,279.5667,263.0333,262.5000,279.3000,294.9333,267.2000,293.5667,,,,,,,,,7.0239,-3.8012,-14.3596
2016-01-01,1.1000,2.8000,3.4000,0.6118,6.8000,0.3600,-8.4333,301.9667,261.9333,249.8000,257.2000,264.5333,275.5667,259.2667,274.7000,,,,,Z,,,,-5.0138,-6.4267,-23.3331
2016-04-01,1.8000,2.5667,3.4000,0.5507,6.7000,0.3733,-0.7000,302.4333,261.9333,251.7000,259.0000,268.4333,275.8667,261.6000,275.1667,,,,,,,,,-8.0223,0.1699,0.6813
2016-07-01,2.3000,3.1000,3.4000,0.5734,6.7000,0.3967,1.0000,317.8000,275.0333,259.1667,265.5333,276.4667,289.4000,268.2333,288.4333,,,,,,,,,-5.4833,4.8213,20.7254
2016-10-01,3.4000,1.2000,3.3000,0.7782,6.8000,0.4500,12.9500,336.9000,292.5667,274.3667,276.1000,290.9333,307.3667,279.4667,306.1333,,,,,,,,,4.2807,6.1366,26.8997
2017-01-01,4.5000,0.5667,3.3000,0.9595,7.0000,0.7000,15.3667,346.5000,301.3333,281.8333,279.9333,298.1667,316.4000,284.0000,314.9667,,,,,,,,,14.6584,2.8855,12.0510
2017-04-01,3.9000,1.9667,3.1000,0.8106,7.0000,0.9500,6.7000,368.6000,318.0667,293.9667,291.4000,302.4667,335.1667,294.0333,333.2333,,,,,,,,,21.1024,5.7996,25.2955
2017-07-01,3.5000,1.7667,3.1000,0.7703,6.9000,1.1533,9.0333,374.9333,323.1333,300.5000,296.2333,309.2667,341.4000,299.6333,339.3333,,,,,,,,,17.6471,1.8305,7.5257
2017-10-01,3.4000,1.6000,2.9000,1.1501,6.8000,1.2033,6.0667,383.3000,330.9000,311.1000,304.8667,314.4667,350.1000,307.4333,348.0333,,,,,,,,,13.6868,2.5639,10.6566
2018-01-01,4.5000,2.4667,2.8000,1.1679,6.9000,1.4467,11.9333,401.5667,346.5667,323.2000,315.0667,324.6667,366.6667,317.6333,364.3000,,,,,,,,,15.6630,4.6739,20.0476
2018-04-01,3.3000,2.1333,2.8000,1.8181,6.9000,1.7367,11.6667,423.3333,365.5667,339.8000,325.3000,330.2667,386.7000,326.6000,383.8333,,,,,,,,,15.1846,5.3619,23.2350
2018-07-01,2.6000,2.4667,2.8000,2.0869,6.7000,1.9233,11.1333,434.1667,374.7333,344.0667,328.6000,332.7333,396.0667,329.6667,392.9333,,,,,,,,,15.7957,2.3708,9.8259
2018-10-01,1.1000,2.6000,2.8000,2.1571,6.5000,2.2200,1.3667,407.2333,350.4667,324.9667,311.5333,313.0667,371.2000,311.9333,368.3000,,,,,Z,,,,5.8232,-6.2691,-22.8153
2019-01-01,0.3000,2.2000,2.8000,1.6833,6.4000,2.4033,-6.4333,409.7000,349.0667,327.1333,318.1000,314.8667,371.4333,317.1667,368.9000,,,,,Z,,,,1.2627,0.1629,0.6532
2019-04-01,0.1000,3.0000,2.8000,2.2244,6.1000,2.3967,-5.3333,437.7667,375.0667,347.3333,338.5667,319.8333,397.3000,333.4333,394.3000,,,,,,,,,2.7269,6.8853,30.5186
2019-07-01,-3.2000,3.3333,2.9000,2.2914,6.0000,2.1900,-5.6333,431.3667,367.9667,340.9333,335.3333,310.6000,390.5667,328.6667,387.7000,,,,,Z,,,,-1.3319,-1.6739,-6.5292
2019-10-01,-3.6000,3.0000,3.3000,2.3164,5.9000,1.6433,4.5333,423.7333,362.2667,331.1667,326.0333,294.7333,383.6000,318.1333,380.9000,,,,,Z,,,,3.4211,-1.7539,-6.8333
2020-01-01,-9.4000,1.9667,4.3000,2.0585,-6.8000,1.2600,0.0667,418.7333,359.9333,323.8667,317.1000,306.0000,379.7667,314.3000,377.1667,,,,,Z,,,,2.2409,-0.9801,-3.8633
2020-04-01,-9.4000,1.3667,6.1000,1.2294,3.2000,0.0600,6.1667,425.2000,365.4000,330.0000,318.6333,312.7333,385.7667,317.3333,383.4333,,,,,Z,,,,-2.7559,1.6615,6.8135
2020-07-01,-4.0000,-1.6333,6.2000,0.5161,4.9000,0.0933,6.9333,425.5333,366.9667,329.9000,319.2667,312.6333,385.8000,317.9000,383.5000,,,,,,,,,-1.0833,0.0174,0.0696
2020-10-01,-3.5000,-0.5667,6.6000,0.3850,6.5000,0.0900,8.0333,423.1667,365.0000,329.0333,314.2000,306.8000,383.1333,312.5667,380.6000,,,,,,,,,-0.0788,-0.7562,-2.9906
2021-01-01,8.2000,1.2333,6.8000,0.2321,18.9000,0.0800,40.6667,429.0000,369.4667,337.1667,320.8667,319.9000,387.9667,320.6333,385.4667,,,,,,,,,2.2006,1.2787,5.2137
2021-04-01,7.6000,0.8333,5.4000,0.1722,8.1000,0.0700,28.0000,436.2333,378.6333,345.3000,331.3000,324.5667,395.5333,329.7000,392.9667,,,,,,,,,2.4863,1.9457,8.0129
2021-07-01,5.6000,2.2333,4.5000,0.1467,5.5000,0.0900,22.5000,441.8000,384.0000,348.2667,336.5667,320.1667,400.5667,332.6667,397.8667,,,,,,,,,3.7462,1.2469,5.0818
2021-10-01,4.7000,1.9667,4.0000,0.2159,4.5000,0.0800,22.1333,437.6333,380.7333,345.3000,337.2000,312.2000,397.1333,331.2333,394.5000,,,,,,,,,3.6521,-0.8462,-3.3420
2022-01-01,-4.0000,1.5000,5.1000,0.4410,4.8000,0.1200,-0.2667,425.6667,373.3000,338.5333,317.9000,303.8667,388.3333,314.6667,385.2667,,,,,Z,,,,-0.0519,-2.3405,-9.0385
2022-04-01,-1.5000,1.4333,4.7000,1.1261,0.8000,0.7700,-9.9667,423.6667,371.8667,341.0000,318.5333,307.6333,386.9333,316.1667,384.1000,,,,,Z,,,,-2.2563,-0.3028,-1.2058
2022-07-01,-4.9000,2.7333,4.0000,2.7287,4.0000,2.1900,-12.8667,405.3000,356.1667,329.8333,315.8000,297.7000,370.6667,312.1000,368.3333,,,,,Z,,,,-7.4229,-4.1048,-15.4357
2022-10-01,-4.3000,1.8667,3.5000,4.9621,3.0000,3.6533,-24.3333,375.5333,328.2333,309.9333,306.2000,296.5667,342.4667,304.3667,341.0333,,,,,Z,,,,-13.5530,-7.4118,-26.5108
2023-01-01,2.7000,1.9333,3.1000,3.7274,4.7000,4.5167,-22.0667,378.6333,334.6667,315.9000,306.6000,304.8000,347.2000,306.2667,345.8000,,,,,Z,,,,-10.2440,1.3977,5.7092
2023-04-01,1.5000,2.0000,3.0000,4.4745,6.5000,4.9900,-14.5000,383.0333,340.2333,318.6667,309.5333,307.1667,352.2000,309.1333,350.6333,,,,,Z,,,,-8.7130,1.3977,5.7092
2023-07-01,4.1000,1.8667,2.8000,5.0033,5.0000,5.2600,-8.8000,363.8000,328.1000,311.0667,298.1667,293.8000,338.1333,297.3667,336.7000,,,,,Z,,,,-8.5882,-3.9738,-14.9725
2023-10-01,4.2000,2.5667,2.9000,5.3352,5.3000,5.3300,9.8333,341.2333,308.1333,294.1667,282.7333,284.5000,317.6000,283.1000,316.3000,,,,,Z,,,,-7.2525,-6.0588,-22.1203
2024-01-01,2.9000,1.9333,3.0000,4.7030,5.3000,5.3300,21.9000,328.7000,298.0333,286.5333,276.9000,277.4000,307.2333,277.0000,305.9333,,,,,Z,,,,-11.5288,-3.2775,-12.4794
2024-04-01,3.0000,1.2667,3.0000,4.6802,4.7000,5.3300,18.9333,326.8000,297.9667,290.3667,280.5667,275.7667,307.1667,279.5667,305.8667,,,,,,,,,-12.7674,-0.0218,-0.0871
2024-07-01,2.1000,2.4000,3.0000,4.3180,4.6000,5.2633,16.0667,311.6000,285.4667,277.1333,270.3000,265.1000,293.7667,269.1333,292.5000,,,,,,,,,-13.1274,-4.3701,-16.3675
2024-10-01,2.5000,1.4000,3.1000,4.3640,5.4000,4.6500,9.1333,308.0333,284.5333,275.3667,268.3000,262.3333,291.8333,266.9333,290.5667,,,,,,,,,-8.1357,-0.6610,-2.6178
2025-01-01,3.2000,1.6000,3.2000,3.9032,5.4000,4.3300,17.6000,305.0667,279.0667,270.0000,263.2000,256.4667,287.3333,261.6000,285.9000,,,,,,,,,-6.5483,-1.6061,-6.2711
2025-04-01,3.3000,1.7667,3.5000,2.3299,5.2000,4.3300,19.6333,306.4333,279.4000,269.7667,263.3667,256.6333,288.0667,261.6667,286.5667,,,,,,,,,-6.3099,0.2332,0.9360
2025-07-01,3.8000,1.0667,3.9000,2.8130,4.8000,4.2933,13.6667,310.2333,282.8000,272.9333,265.1667,260.4667,291.7000,264.0000,290.1000,,,,,,,,,-0.8205,1.2330,5.0239
2025-10-01,4.0000,1.2667,3.8000,3.2177,4.5000,3.8967,17.0333,317.2000,290.4667,283.0333,271.0000,267.5000,299.4667,270.1667,297.7333,,,,,,,,,2.4664,2.6313,10.9479
2026-01-01,5.9000,1.5000,3.7000,2.5887,5.0000,3.6400,34.0000,326.0333,302.0667,294.0333,278.4000,272.2000,310.0000,276.8667,308.1000,P,P,P,P,P,P,P,P,7.7650,3.4819,14.6719
